"","UserID","AGE","FOAvgStake","LAAvgStake","FOAvgTotalWinnings","LAAvgTotalWinnings","FOTotalActiveDays","LATotalActiveDays","Gender","Recency_bet_sportsFO","Recency_bet_sportsLA","Continent"
"33402",1388476,34,4.064516,4.168773,1.891935,3.475449,42,39,"Male",172,174,"Europe"
"33403",1388479,41,17.64786,0,6.219286,0,199,0,"Male",14,0,"Europe"
"33404",1388481,24,2.913663,0,2.419477,0,211,0,"Male",1,0,"Europe"
"33405",1388482,37,7.679167,0,4.345833,0,12,0,"Male",206,0,"Europe"
"33406",1388487,48,2.735923,4.859027,2.739957,4.567815,215,217,"Male",3,1,"Europe"
"33407",1388488,26,1.368167,0,0,0,12,0,"Male",207,0,"Asia"
"33408",1388489,28,5.023772,4.102069,3.758024,2.770345,198,28,"Male",21,167,"Europe"
"33409",1388492,20,6.576992,4.008146,5.215975,3.358538,209,206,"Male",4,5,"Europe"
"33410",1388493,23,4.5819,10,1.7519,0,206,0,"Male",13,150,"Europe"
"33411",1388497,41,0.9146776,1.611197,0.7409218,1.006164,211,159,"Male",8,59,"Europe"
"33412",1388499,22,1.647155,2.205781,0,2.531252,13,8,"Male",206,208,"Asia"
"33413",1388501,20,1.111111,0,0,0,7,0,"Male",206,0,"Europe"
"33414",1388502,20,2.210526,0,3.977105,0,212,0,"Male",3,0,"Europe"
"33415",1388504,43,8,0,4.9,0,9,0,"Male",210,0,"Europe"
"33416",1388505,22,1.105556,0,0.43625,0,6,0,"Male",203,0,"Europe"
"33417",1388510,37,6.784483,0,5.313793,0,107,0,"Male",112,0,"Europe"
"33418",1388511,44,7.224816,6.72005,6.83421,4.53605,50,0,"Male",169,218,"Europe"
"33419",1388513,30,25.99286,100,28.85,0,202,0,"Male",17,20,"Europe"
"33420",1388516,26,5.714479,7.275,3.568125,3.283333,51,21,"Male",166,188,"Europe"
"33421",1388523,29,3.705211,2.264706,3.496408,1.870588,215,46,"Male",2,146,"Europe"
"33422",1388526,41,10,0,1.666667,0,11,0,"Male",206,0,"Europe"
"33423",1388528,19,7.6,23.16667,0,18.63333,3,0,"Male",216,219,"Europe"
"33424",1388529,27,1.474704,0.6005,1.226508,0,211,0,"Male",1,2,"Asia"
"33425",1388530,33,6.540714,0,2.255,0,28,0,"Male",191,0,"Europe"
"33426",1388535,39,3.277346,0,2.803412,0,58,0,"Male",157,0,"Europe"
"33427",1388536,19,0.8803939,0.6609368,0.2587797,0.5058684,108,103,"Male",1,2,"Asia"
